Adhesive Bandage,バンソウコウ,"Your average adhesive
bandage.
Restores 20 HP to one ally.",Lunge,トツゲキ,"Medium Phys dmg to an
area of foes.",Shibuya Crossing,I am the pillager of twilight—[1B]T1%s[1B]R!,"You need my help once more?
Very well, use my power wisely."
Quickfix α,ショウキズグスリ,"A fast-acting formula with
grade α effectiveness.
Restores 50 HP to one ally.",Assault Dive,アサルトダイブ,"Heavy Phys dmg to an
area of foes.",Shibuya Crossing,未作成テキスト,未作成テキスト
Quickfix Z,チュウキズグスリ,"A fast-acting formula with
chic effectiveness.
Restores 100 HP to one ally.",Megaton Raid,メガトンレイド,"Severe Phys dmg to an
area of foes with medium
chance of Critical.",Shibuya Crossing,未作成テキスト,未作成テキスト
Medicine,アイテム3,"An effective salve.
Restores 120 HP to one ally.",God's Hand,ゴッドハンド,"Colossal Phys dmg to an
area of foes with high
chance of Critical.",Shibuya Crossing,未作成テキスト,未作成テキスト
Niuhuang Dan,アイテム４,"High quality herbal
medicine.
Restores 200 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Shibuya Crossing,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Central Street,未作成テキスト,未作成テキスト
未作成テキスト,アイテム６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Central Street,未作成テキスト,未作成テキスト
未作成テキスト,アイテム７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Maruku City,未作成テキスト,未作成テキスト
未作成テキスト,アイテム８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Maruku City,未作成テキスト,未作成テキスト
未作成テキスト,アイテム９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Maruku City,未作成テキスト,未作成テキスト
Power Incense,アイテム１０,"Increases Persona's
St by 1.",Cleave,スラッシュ,"Light Physical dmg to an area
of foes with medium chance
of Critical.",Maruku City,未作成テキスト,未作成テキスト
Magic Incense,アイテム１１,"Increases Persona's
Ma by 1.",Giant Slice,ダイセツダン,"Medium Phys dmg to an
area of foes with high
chance of Critical.",Shibuya Station: West Exit,"I'm [1B]T1%s[1B]R, hee-ho.","It looks like I'm barred from hell,
so I guess I'll have to be your mask
instead, ho!"
Guard Incense,アイテム１２,"Increases Persona's
En by 1.",Brave Blade,ブレイブザッパー,"Heavy Phys dmg to an
area of foes with high
chance of Critical.",Shibuya Station: West Exit,I'm [1B]T1%s[1B]R!,"I'm going to be your mask and
have some fun!"
Speed Incense,アイテム１３,"Increases Persona's
Ag by 1.",Sword Dance,ケンノマイ,"Severe Phys dmg to an
area of foes with very high
chance of Critical.",Underground Waterway,I am [1B]T1%s[1B]R.,"Impure motives are what grant me
strength! Here, take care of this
mask for me!"
Luck Incense,アイテム１４,"Increases Persona's
Lu by 1.",未作成テキスト,未作成テキスト,未作成テキスト,Underground Waterway,I am [1B]T1%s[1B]R.,"You who has gained a new mask,
my master... Allow me to take care
of your heart."
HP Incense,アイテム１５,"Increases max HP of
one ally by 5.",Hassou Tobi,ハッソウトビ,"Colossal Phys dmg to a
wide area of foes with high
chance of Critical.",Underground Waterway,I'm [1B]T1%s[1B]R.,"You want to be with me so much you're
making me a mask? Sure, do whatever
your heart desires."
SP Incense,アイテム１６,"Increases max SP of
one ally by 5.",未作成テキスト,未作成テキスト,未作成テキスト,Miyamae Park,I'm [1B]T1%s[1B]R.,"I am the soul of your shadow...
So that would be why I'm
becoming your mask..."
未作成テキスト,アイテム１７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Miyamae Park,I am [1B]T1%s[1B]R.,"You want to make me your mask?
You're an odd one. Don't blame me
if you end up getting killed."
