"We made it! Let's rock, Joker!",0,4,2550,2740
We late to the party?,1,4,3462,3618
"Heh, nice moves.",2,4,5426,5578
How d'ya like this? Aaand-a boop.,3,4,5608,5738
Persona!,4,4,7406,7500
"It's been a while, hasn't it?",5,5,1338,1470
Welcome to the Velvet Room.,6,5,2142,2362
No good—it's an ambush!,7,6,1004,1170
This ain't fair!,8,6,1484,1608
Joker!,9,6,1888,1998
Keep moving.,10,6,2560,2692
"Yo, wait up—",11,7,94,188
Who are you? Intruders!?,12,7,314,482
We are... the Phantom Thieves.,13,7,1682,1844
Do us a favor...,14,8,422,560
...and die already!,15,8,565,704
What the hell!?,16,8,1904,2024
"Careful, here it comes!",17,8,2030,2168
What do we got here?,18,9,876,1004
What!?,19,9,1332,1456
"Okay, folks, listen up!",20,10,1050,1214
Good evening.,21,10,1264,1355
"Been a while, huh?",22,10,1360,1484
Perhaps you remember us.,23,10,1492,1602
We are the Phantom Thieves.,24,10,1608,1763
And we're back in action with a new heart in our sights!,25,10,1768,2024
"A wicked witch who treats people like toys.
Alice Hiiragi!",26,10,2030,2279
"You pretend you're a ray of light, but all you do is
hurt people to indulge your own darkness.",27,10,2284,2594
"You're a bad person, and bad people have to be stopped.",28,10,2604,2834
And all those Desires you stole?,29,10,2872,3046
"Tonight, we're taking them all back!",30,10,3060,3244
"And now, I'm going to make you mine...",31,11,232,425
All mine!,32,11,430,564
So that's it.,33,12,972,1070
"Once again, the domain reflects who's within...",34,12,1142,1376
I'm sick and tired of everyone looking down on me...,35,13,266,528
Yes... The time has come for my true power.,36,13,586,834
You wretches shall witness... my final form!,37,13,839,1084
S-S-So cold!,38,14,420,598
C-C-Can't see shit...,39,14,620,742
Look—there!,40,14,1990,2096
Honestly... They're all in my way...,41,15,74,390
This is the last straw...,42,15,460,790
You've made me so very hungry...,43,15,1066,1224
It's dinnertime... and the main course is YOU!,44,15,1248,1700
"Careful, Joker!",45,38,746,825
We got one comin' up!,46,38,831,920
"...two, three!",47,39,1240,1350
Welcome home!,48,39,1402,1548
Surprise! We getcha or what?,49,39,1768,1950
We missed ya!,50,39,2114,2220
It's been a while.,51,39,2260,2370
Did you get taller?,52,39,2380,2500
Looks like you've been doing fine.,53,39,2505,2632
"You too, Morgana!",54,39,2740,2825
Mrooow!,55,39,2831,2946
I dunno... Feels like—,56,40,378,515
Whoa! What happened to you guys!?,57,40,520,670
Not just me. You changed too.,58,40,676,840
Whoa! For real!?,59,40,846,1000
It looks like this place is connected to the Metaverse.,60,40,1020,1290
"This is a joke, right?",61,40,1368,1540
Look...,62,40,1596,1650
Aren't those the guys we saw at 705?,63,40,1656,1890
"Hey, everyone. You love me, don't you?",64,40,2052,2265
"Uh, yeah!",65,40,2270,2364
Oh yeeeah?,66,40,2390,2550
Then you can give me all your Desires!,67,40,2557,2745
Huh...?,68,40,2751,2832
"Whoa, what the hell was that!?",69,40,3520,3690
There's no time. We'll figure it out later!,70,40,3724,3898
"Joker, Skull—let's fight our way out!",71,40,3912,4078
You sure you kids gonna be okay on your own?,72,43,120,280
"We'll be fiiine! I mean, probably.",73,43,286,498
"Take care, Boss.",74,43,526,610
"Eh, same to you. Be careful out there.",75,43,616,855
Thanks. Bye!,76,43,860,978
Yeah!,77,43,1686,1755
"Summer vacation, here we come!",78,43,1760,1944
Is this the lab? It's kind of eerie...,79,16,900,1098
"Bad vibes here, guys...
This place looks straight-up haunted...",80,16,1120,1420
Queen? You all right?,81,16,1480,1625
Uh... Yep! A-All fine here!,82,16,1630,1916
You sure don't sound fine.,83,16,1974,2096
Whoa!,84,16,2126,2208
"Screw you too, can! Huh?",85,16,2344,2526
"I'msosorryI'msosorry... Where are you, Sis!?
I'msosorryI'msosorry...",86,16,2666,3012
"Uh, wait... I didn't know you two were...",87,16,3052,3292
"Uh... Oh, no no no no! We're just friends!",88,16,3594,3760
Hey! It's empty!,89,17,4034,4170
They can't be far! Find them!,90,17,4175,4330
We have to punish them for defiling hallowed ground!,91,17,4340,4556
We'll make an offering out of them!,92,17,4586,4743
Find them!,93,17,4749,4846
Ma'am! Entry secure!,94,18,1232,1315
Good work.,95,18,1320,1394
Commissioner!,96,18,1674,1764
You're late.,97,18,1954,2052
Maybe... But you know this case isn't solved yet.,98,18,2626,2988
She's right there!,99,19,380,490
"Crap, that is her!",100,19,910,1015
Come on. She needs help!,101,19,1020,1160
Wh-Whoa—,102,19,1348,1400
Ngh...,103,19,1406,1538
What!?,104,19,1884,1948
What the hell's goin' on!?,105,19,1954,2063
Look out!,106,19,2068,2130
No!,107,19,2544,2644
"Welcome, Phantom Thieves... to my own Jail!",108,19,3982,4232
Get down already or they're gonna see you!,109,20,300,455
"""Get down,"" she says...!",110,20,460,670
Akane's in here... somewhere...,111,20,1234,1430
"They're on you, Zenkichi! Hide!",112,20,1462,1610
Nice. Now let's get stealthy.,113,20,2604,2785
"Okay. Let's do this, partner.",114,20,2791,3228
Do you finally see the truth?,115,21,34,218
Do you know the true face of the guilty?,116,21,580,784
"They condemn the good to slavery.
Pretend they do not see their agony.",117,21,830,1226
...Just as you once did.,118,21,1316,1534
But another story must begin.,119,21,1646,1848
"Now, show your gaolers that you will wear a different chain.",120,21,1920,2282
"I am thou, thou art I...",121,21,2368,2648
"If you yet seek true justice, we will see it done!",122,21,2674,2988
Fine... Seal the contract.,123,21,3340,3664
VALJEAN!,124,21,4132,4298
For real?,125,21,5250,5378
I know what I have to do now...,126,21,5862,6012
"Condemn the evil, and hunt them down!",127,21,6186,6424
The real Phantom Thieves... would never hurt me...,128,22,368,644
The real Phantom Thieves... are my friends!,129,22,652,916
Everyone—guards up!,130,22,1058,1190
Wait... That one looks like...,131,22,1198,1342
Joker!?,132,22,1382,1492
"Whoa, what's going on!?",133,22,1946,2075
Please! If you're my Phantom Thieves... then change their hearts!,134,22,2080,2366
Very... high-tech.,135,23,1098,1180
"Yeah, figures it'd be another crazy one...",136,23,1186,1390
See that?,137,23,1460,1560
I'd say we just found Konoe's castle.,138,23,1896,2096
We're almost there.,139,23,2218,2338
"Only one job left, team: bring the villain to justice.",140,23,2356,2618
Some kinda card?,141,24,466,624
"Wait, that's...",142,24,706,820
Phantom Thieves?,143,24,864,945
Is it actually real?,144,24,950,1074
"Testing, one two one two...",145,24,1610,1762
"Okay, looks like we're live!",146,24,1768,1902
So... I just talk into this?,147,24,2000,2124
"You're on, man, just say it!",148,24,2130,2278
"Are you listening, Konoe?",149,24,2506,2645
"Toying with innocent lives, slandering us...",150,24,2650,2816
You've been busy. But so have we.,151,24,2834,3048
Now it's payback time.,152,24,3076,3206
"Ready or not, here we come!",153,24,3214,3346
To the villain who thinks he's a hero: Akira Konoe!,154,24,3424,3658
You stole the Desires of countless people...,155,24,3664,3840
"And tonight, we're baking them— uh, I mean, taking them—",156,24,3846,4030
"Skull, you had ONE LINE!",157,24,4035,4125
I-I meant to say that!,158,24,4130,4240
There aren't any real heroes left.,159,25,602,764
So... why not make our own?,160,25,778,994
The world needs someone willing to fight for its people's justice.,161,25,1178,1478
A hero to lead them. To unify them.,162,25,1566,1814
A hero like me.,163,25,1944,2068
And if I'm the hero... that makes YOU the villain!,164,25,2910,3198
Is that it?,165,26,766,846
So we gotta put him down one last time!,166,26,1488,1688
"Come on, Phantom Thieves.",167,26,2036,2162
Let's end this.,168,26,2268,2356
"Very soon, a deity will descend to this Earth.",169,27,36,250
"And if you're gonna get in the way, well,
I gotta put you down. Them's the breaks!",170,27,286,596
Ichinose... Why do this?,171,27,680,876
"It's kind of over your head, Sophia...",172,27,950,1123
The little failure that you are.,173,27,1129,1276
So you know who I really am?,174,27,1302,1472
"Yeah, I know.",175,27,1512,1644
Maybe this will give you a clue.,176,27,1660,1830
Voice authentication: force reset.,177,27,1835,2030
Assign new instructions.,178,27,2035,2174
Sophia. Kill the Phantom Thieves.,179,27,2182,2392
Sophie!,180,27,2646,2738
"The hell are you doing, Sophie!?",181,27,3576,3756
I was the one who designed her as EMMA's prototype.,182,27,3960,4184
She'll do anything I tell her to.,183,27,4210,4388
"Just hold on, Sophie!",184,28,750,868
Jo... ker?,185,28,2340,2544
Sophie?,186,28,2882,2980
Is she coming back?,187,28,3016,3138
"Hey, behind you!",188,28,3496,3610
I'm so... sorry...,189,28,3740,3964
Sophie!,190,28,4662,4808
What...?,191,29,298,400
"Cool, right? It really is gorgeous.",192,29,414,646
"Sorry it had to end like this, but...
Well. What can you do?",193,29,664,1022
Phantom Thieves... It's been real.,194,29,1158,1348
Joker!,195,30,874,1050
Sophie!,196,30,1524,1650
I want my own... So please...,197,31,280,490
"I want a heart... strong enough to choose...
my own path!",198,31,644,1182
Can you wield that strength?,199,31,1194,1324
"Dare you unleash catastrophe upon this world?
Can you cling to the paltry hope that remains?",200,31,1482,1904
"Is the puppet ready to cut her own strings?
Shall the doll seize her own destiny?",201,31,1970,2378
Then you need only call my name.,202,31,2448,2606
"I am thou, thou art I.",203,31,2818,3078
My name is...,204,31,3084,3192
PANDORA!,205,31,3274,3510
Kuon Ichinose...,206,31,4462,4572
"Your desires have been twisted...
and I'll be the one to take them.",207,31,4622,4752
I'm not your doll anymore!,208,31,4806,5190
What!?,209,32,1496,1570
Attention!,210,33,784,870
"You know the logo by now, right?",211,33,900,1065
We are the Phantom Thieves.,212,33,1071,1236
And we've got a big announcement for everybody!,213,33,1290,1498
Our target this time... is you!,214,33,1544,1750
"You've all been made sheep. A mechanical god has usurped
what self you had... and you let it happen.",215,33,1790,2222
"Do you really want someone telling you
what your own life is about?",216,33,2244,2496
"All of you have paths only you can take...
but you make your own choices to get there!",217,33,2526,2864
"That's why we're here.
We're going to snap you out of this!",218,33,2876,3132
You don't owe this dumb god your Desires!,219,33,3152,3366
The Phantom Thieves are taking them back!,220,33,3404,3570
Phantom Thieves...?,221,33,3738,3845
My Desires?,222,33,3850,3952
My Desires...?,223,33,3970,4114
What the hell...,224,34,2864,2968
"I am the guiding god sought by mankind...
The Demiurge.",225,34,2990,3298
I exist... to answer all of your desires.,226,34,3348,3648
"Let's go, everyone!",227,35,1762,1892
This... is the final battle!,228,35,1916,2104
Let's go!,229,36,62,142
Joker! Finish it!,230,36,2056,2190
But why...?,231,36,3770,3890
I am...,232,36,3900,3960
...the god... who would guide humanity...,233,36,4020,4320
Oh man! The water's so clear!,234,44,280,470
Whoa... Okinawa's the friggin' BEST!,235,44,478,752
Heeey! Guys!,236,44,830,945
You gotta see these fish!,237,44,950,1082
Voila. You're beautiful.,238,44,2246,2390
"Whoa. Well, it's some detailed work...",239,44,2396,2585
...for a bunch of DAMN KIDS!,240,44,2592,2776
Get back here! You're all under arrest!,241,44,2826,2996
There they are.,242,45,506,588
Sorry we're late!,243,45,798,870
"Oh, good... We didn't miss it!",244,45,876,1032
Perfect timing! I think it's about to start—,245,45,1172,1382
Whoa... Look at 'em!,246,45,1854,2000
Ka-BOOOM!,247,45,2006,2160
They're gorgeous.,248,45,2324,2424
Yes. A perfect scene of summer.,249,45,2432,2610
Hey...,250,45,2632,2722
"Um, can I see them too?",251,45,2786,2926
Hey! What is that?,252,46,1052,1170
No way...,253,46,1650,1764
Thank you all.,254,47,658,735
"I promise: I won't forget you, or our time together.",255,47,740,992
We'll meet again.,256,47,1238,1338
Yeah! No matter what!,257,47,1552,1698
Okay. No matter what.,258,47,1836,1980
Goodbye.,259,47,2066,2154
"And in politics, another massive scandal:",260,47,18801,18908
Legislator Jyun Owada has just been taken into police custody,261,47,18913,19040
"after being connected to a hit-and-run,",262,47,19053,19223
as well as several counts of bribery...,263,47,19233,19473
"It's about time we got going, too, huh?",264,47,19483,19637
Guess so.,265,47,19653,19735
"So we'll go our separate ways, once more?",266,47,19811,19999
"It's a little sad. Saying goodbye, I mean.",267,47,20009,20241
"Come on, it's never goodbye forever!
We'll be back in a flash!",268,47,20251,20543
Sure will!,269,47,20557,20635
Yeah.,270,47,20773,20843
"Until next time, Phantom Thieves!",271,47,21661,21863
Almost time...,272,49,290,345
Yeah. Let's do this!,273,49,378,475
"Careful, Joker!",274,49,746,825
We got one comin' up!,275,49,831,920
It's starting!,276,49,1365,1410
Then we're on!,277,49,1425,1490
Right. Let's go!,278,49,1495,1575
Whoa... There's a lot of them.,279,49,2865,2995
"They're all yours, Joker!",280,49,3509,3585
"Email
From: Sophia, Subject: Treasure!",281,47,2705,2850
[1B]Z,282,-1,0,0
[1B]Z,283,-1,0,0
[1B]Z,284,-1,0,0
[1B]Z,285,-1,0,0
[1B]Z,286,-1,0,0
[1B]Z,287,-1,0,0
[1B]Z,288,-1,0,0
[1B]Z,289,-1,0,0
[1B]Z,290,-1,0,0
[1B]Z,291,-1,0,0
[1B]Z,292,-1,0,0
[1B]Z,293,-1,0,0
[1B]Z,294,-1,0,0
[1B]Z,295,-1,0,0
[1B]Z,296,-1,0,0
[1B]Z,297,-1,0,0
[1B]Z,298,-1,0,0
[1B]Z,299,-1,0,0
[1B]Z,300,-1,0,0
[1B]Z,301,-1,0,0
[1B]Z,302,-1,0,0
[1B]Z,303,-1,0,0
[1B]Z,304,-1,0,0
[1B]Z,305,-1,0,0
[1B]Z,306,-1,0,0
[1B]Z,307,-1,0,0
[1B]Z,308,-1,0,0
[1B]Z,309,-1,0,0
[1B]Z,310,-1,0,0
[1B]Z,311,-1,0,0
[1B]Z,312,-1,0,0
[1B]Z,313,-1,0,0
[1B]Z,314,-1,0,0
[1B]Z,315,-1,0,0
[1B]Z,316,-1,0,0
[1B]Z,317,-1,0,0
[1B]Z,318,-1,0,0
[1B]Z,319,-1,0,0
[1B]Z,320,-1,0,0
[1B]Z,321,-1,0,0
[1B]Z,322,-1,0,0
[1B]Z,323,-1,0,0
[1B]Z,324,-1,0,0
[1B]Z,325,-1,0,0
[1B]Z,326,-1,0,0
[1B]Z,327,-1,0,0
[1B]Z,328,-1,0,0
[1B]Z,329,-1,0,0
[1B]Z,330,-1,0,0
[1B]Z,331,-1,0,0
[1B]Z,332,-1,0,0
[1B]Z,333,-1,0,0
[1B]Z,334,-1,0,0
[1B]Z,335,-1,0,0
[1B]Z,336,-1,0,0
[1B]Z,337,-1,0,0
[1B]Z,338,-1,0,0
[1B]Z,339,-1,0,0
[1B]Z,340,-1,0,0
[1B]Z,341,-1,0,0
[1B]Z,342,-1,0,0
[1B]Z,343,-1,0,0
[1B]Z,344,-1,0,0
[1B]Z,345,-1,0,0
[1B]Z,346,-1,0,0
[1B]Z,347,-1,0,0
[1B]Z,348,-1,0,0
[1B]Z,349,-1,0,0
[1B]Z,350,-1,0,0
[1B]Z,351,-1,0,0
[1B]Z,352,-1,0,0
[1B]Z,353,-1,0,0
[1B]Z,354,-1,0,0
[1B]Z,355,-1,0,0
[1B]Z,356,-1,0,0
[1B]Z,357,-1,0,0
[1B]Z,358,-1,0,0
[1B]Z,359,-1,0,0
[1B]Z,360,-1,0,0
[1B]Z,361,-1,0,0
[1B]Z,362,-1,0,0
[1B]Z,363,-1,0,0
[1B]Z,364,-1,0,0
[1B]Z,365,-1,0,0
[1B]Z,366,-1,0,0
[1B]Z,367,-1,0,0
[1B]Z,368,-1,0,0
[1B]Z,369,-1,0,0
[1B]Z,370,-1,0,0
[1B]Z,371,-1,0,0
[1B]Z,372,-1,0,0
[1B]Z,373,-1,0,0
[1B]Z,374,-1,0,0
[1B]Z,375,-1,0,0
[1B]Z,376,-1,0,0
[1B]Z,377,-1,0,0
[1B]Z,378,-1,0,0
[1B]Z,379,-1,0,0
[1B]Z,380,-1,0,0
[1B]Z,381,-1,0,0
