0,Head to Leblanc,Gather rumors in Shibuya,Defeat all Shadows!
Change Alice's heart!,Prepare for tomorrow,Head to Takemi Medical Clinic,Defeat specified Shadows!
Head to the next city!,Find Ryuji near the Buchiko statue,Head to Airsoft Shop,Head to the escape point!
Change Natsume's heart!,Gather rumors on Alice Hiiragi,Investigate the area,Perform a Showtime attack!
Change Mariko's heart!,Check the shop,Head to the 705 area,Endure the enemy attacks!
Save Akane!,Infiltrate the Jail,Find a way to infiltrate the castle,Pick up the mask!
Change Konoe's heart!,Change Alice's heart,Head to Maruku City,Glide down the steep hill!
Stop the Ark of the Covenant!,Talk to Sojiro,Find a way to infiltrate the Prison Keep,Protect Oracle!
Take back the masses' Desires!,Investigate,Head to the underground waterway,Defeat the powerful enemy!
Uncover the mystery of the lab!,Escape the underground waterway,Pass through the air vent,Disengage the trap!
Head back to Tokyo,Head to the castle,Infiltrate the Prison Keep,Defeat it before it escapes!
[1B]Z,Conquer the Prison Keep,Obtain the core,Attack with your gun!
[1B]Z,Infiltrate the castle,Head to Miyamae Park,Perform an ambush!
[1B]Z,Conquer the castle,Check the console panel,Attack using the terrain!
[1B]Z,Open the birdcage's lock,Head to Central Street,Use Pixie's Zio!
[1B]Z,[1B]Z,Head to Bunkamachi,Draw the enemy's attention!
[1B]Z,[1B]Z,Activate the console's power source,Don't let the Shadows find you!
[1B]Z,[1B]Z,Activate all power sources,Defeat Alice!
[1B]Z,Remove the ice wall in Odori Park,Turn the Ferris wheel,Defeat Ango!
[1B]Z,Change Mariko's heart,Head behind 705,Defeat Mariko!
[1B]Z,Find Hirose River,Unlock the way to the stairs,Defeat the false Joker!
[1B]Z,Head to Aoba St. 1st Ward,Head to the upper floor,Defeat Akira!
[1B]Z,Head to Hirose St.,Find a way to head to the rooftop,Block Sophie's attacks!
[1B]Z,Change Natsume's heart,Head to the rooftop,Defeat all Shadows!
[1B]Z,Find Akane Hasegawa,Head aboveground,Defeat the Demiurge!
[1B]Z,Save the Phantom Thieves,Stealthily advance,Defeat the Lock Keeper!
[1B]Z,Head to the Masamune statue,Find the searchlights' power source,Defeat the Crypt-Dwelling Pyromaniac!
[1B]Z,Discuss matters at the RV,Head to the Maruku City tower,Defeat the Dirty Two-Horned Beast!
[1B]Z,Gather rumors on Ango Natsume,Find a way into the Maruku City tower,Defeat the Twilight Prostitute!
[1B]Z,Send the calling card,Infiltrate the tower from the waterway,Defeat the Night-Walking Warrior!
[1B]Z,Return to the hideout,Steal the power source (?),Defeat the Heavenly Punisher!
[1B]Z,Head to the next city in the RV,"Find the ""sun"" and ""rain""",Defeat the Twin-Headed Guardian!
