Take Back the Desire,Lady concerned for Alice-obsessed boyfriend,"Everyone else seems to have gone back to
normal, but my boyfriend's still obsessed
with Alice. Someone, please help him!",Shibuya Jail,Defeat remaining Shadows,Shibuya Crossing,[1B]Z,Motto Hoodie,[1B]Z,Motto Hoodie,[1B]Z,[1B]Z
Cold-Blooded Treatment,"Oracle, LFG for Shadow analysis","Futaba here—So there're these snake-like
Shadows in the Sendai Jail, and it looks like
they've got good weapons. I wanna find out
their weakness!",Sendai Jail,[1B]Z,Aoba St. 1st Ward and Hirose St.,[1B]Z,Muramasa,Quickfix α,Muramasa,Quickfix α,[1B]Z
Painful Past: Alice Hiiragi,Lavenza of the Velvet Room,"The memories of battles past can improve
your strength. There is a path in the Shibuya
Jail that leads to your battle with Alice Hiiragi.
Follow it and challenge her once more.",Shibuya Jail,Defeat Mad Rabbit Alice,Castle: Front Area,[1B]Z,BOND Exp,¥2500,BOND Exp,¥2500,Enter battle
Gusts of Punishment,Father distraught over Alice-crazed sons,"All three of my sons keep blowing their
money on Alice crap! We're gonna lose
our house at this rate... What's it gonna
take to help them?",Shibuya Jail,[1B]Z,Side path of Castle: Front Area,[1B]Z,Headhunter Ladle S,Rice / Onion,Headhunter Ladle S,Rice / Onion,[1B]Z
"Prison Mail, Part 1",Lavenza of the Velvet Room,"Trickster, have you made good use of the Velvet
Room? I shall issue you an assignment so that
you may bring out your full potential, like in the
old days.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,Diarama Skill Card,[1B]Z,Diarama Skill Card,[1B]Z,[1B]Z
Sophia's Weapon Shop,"Sophia, hoping to offer more equipment","We may have reached a new city, but are we
ready for it? I'd like to offer more weapons,
but I have to make a small trade of pixie wings
to gain access to them. Care to help me out? ",Sendai Jail,[1B]Z,West Garden and Hirose St.,[1B]Z,More weapons available,¥1200,More weapons available,¥1200,[1B]Z
Sophia's Armor Shop,"Sophia, hoping to offer more equipment","I wish I could offer a higher-quality selection of
armor, but I have to make a trade to access
the goods. Could you help me collect some
high-quality fur from a beast?",Sendai Jail,[1B]Z,Hirose St.,[1B]Z,More armor available,Medicine,More armor available,Medicine,[1B]Z
Trapped in Wonderland,"Mona, Desire tracker extraordinaire","I'm picking up a Desire in Shibuya! A smelly
underground area... A place with a bunch of
small rooms lined up. Know a spot like that?
Maybe we can track down that Desire!",Shibuya Jail,[1B]Z,[1B]Z,[1B]Z,More accessories available,¥1300,More accessories available,¥1300,[1B]Z
"Junk Collection, Part 1","Kuon Ichinose, friend of Metaverse scroungers","Hey there, how's the trip going? Hope you don't
mind my hitting you up right away. I'd like to
analyze some of that mysterious junk you keep
finding. Let me know when you've got enough!",Shibuya Jail,[1B]Z,[1B]Z,[1B]Z,Hacker Gear Mk. 2,¥19200,Hacker Gear Mk. 2,¥19200,[1B]Z
Painful Past: Ango Natsume,Lavenza of the Velvet Room,"The memories of battles past can improve
your strength. There is a path in the Sendai
Jail that leads to your battle with Natsume.
It would be wise to follow it to greater heights.",Sendai Jail,Defeat Nightmare Dragon Ango,Castle: Front Area,[1B]Z,Unlocks level cap for BOND skill,¥3000,Unlocks level cap for BOND skill,¥3000,Enter battle
Enduring a Slimy Hell,A college student harangued by internet trolls,"All I said was Natsume wasn't legit and now
his fans are ruining my life. They even doxxed
me! Please, help me before something horrible
happens!",Sendai Jail,[1B]Z,Sendai Station and Aoba St. 1st Ward,[1B]Z,Arsene's Cane S,¥1800,Arsene's Cane S,¥1800,[1B]Z
Sub-Zero in Sapporo,"Fox, interest piqued by a misplaced Desire","Mona sensed a Desire deep in the Sapporo Jail.
It seems quite far from the castle... could it have
gotten lost on the way to the Monarch? With
Shadows abound, we must use caution.",Sapporo Jail,[1B]Z,Suzushino and Odori Park,[1B]Z,More groceries available,Hot and Sour Tea,More groceries available,Hot and Sour Tea,[1B]Z
"Prison Mail, Part 2",Lavenza of the Velvet Room,"Are you faring well in your battles, Trickster?
I shall give you another assignment so you
may realize your full potential once more.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,Rebel Soul Skill Card,[1B]Z,Rebel Soul Skill Card,[1B]Z,[1B]Z
Blessing the Wicked,"Oracle, LFG for Shadow analysis","You know those Shadows where sex appeal's
their whole thing? Well, they're kind of a pain
so I'd like to learn their weakness. Looks like
they have some rare weapons, too. Let's do this!",Sapporo Jail,[1B]Z,Suzushino and Odori Park,[1B]Z,Water Yo-Yo,Lamb Meat / Pork / Flour,Water Yo-Yo,Lamb Meat / Pork / Flour,[1B]Z
"Junk Collection, Part 2","Kuon Ichinose, friend of Metaverse scroungers","Hey, it's your business partner, Kuon Ichinose.
My curiosity's still strong as ever about those
Metaverse finds. This is quite the research
subject! Could you bring me some new junk?",Sendai Jail,[1B]Z,[1B]Z,[1B]Z,Unlocks level cap for BOND skill,¥28800,Unlocks level cap for BOND skill,¥28800,[1B]Z
Trapped in a Nightmare,"Mona, Desire tracker extraordinaire","I picked up a Desire in the Sendai Jail that
hasn't returned to its rightful owner yet.
Somewhere along the rooftops... It's tucked
away by a bunch of windows!",Sendai Jail,[1B]Z,[1B]Z,[1B]Z,More accessories available,¥2100,More accessories available,¥2100,[1B]Z
Psychokinetic Siege,"Kuon Ichinose, ever-curious re: the Metaverse","I feel like I could study the Metaverse forever.
I'd love to learn more, so how about helping
me with an experiment? Could you tell me
what you see in there?",Sapporo Jail,[1B]Z,Sapporo Clocktower and Castle: Front Area,[1B]Z,Death Contract S,¥2200,Death Contract S,¥2200,[1B]Z
Bug Blaster,"Skull, dealin' with an itchy trigger finger","You know those flyin' Shadows in Sapporo?
They're so fast, I can't shoot 'em! I wanna be
a better shot for the Monarch fight. Think you
could lend me a hand for a bit?",Sapporo Jail,[1B]Z,The Arboretum and Sapporo Tower,[1B]Z,More groceries available,Super Jolt,More groceries available,Super Jolt,[1B]Z
Cursing Those on High,"Sophia, humanity's companion","Do you think I'm as helpful as I can be? I am
trying my best, but I can't fight well against
those angel Shadows. Could you show me
a good way to beat them? Thank you.",Sapporo Jail,[1B]Z,Castle: Front Area,[1B]Z,Unlocks level cap for BOND skill,¥2600,Unlocks level cap for BOND skill,¥2600,[1B]Z
Nuking the Stars,"Queen, tutor of tactics","Have you been paying attention to enemies'
weaknesses? I think we'll have trouble fighting
stronger foes if we don't, so I've prepared some
lessons for you to try out.",Sapporo Jail,[1B]Z,Sapporo Tower and Castle: Front Area,[1B]Z,Death's Claws,Donut-Worry,Death's Claws,Donut-Worry,[1B]Z
"Prison Mail, Part 3",Lavenza of the Velvet Room,"I presume you're continuing to attain Personas.
Keep in mind: you'll eventually find yourself
unable to fuse new ones if your strength is not
up to snuff. Do not forget your training.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,Soul Thief Skill Card,[1B]Z,Soul Thief Skill Card,[1B]Z,[1B]Z
Painful Past: Mariko Hyodo,Lavenza of the Velvet Room,"The memories of battles past can improve
your strength. There is a path in the Sapporo
Jail that leads to your battle with Hyodo.
It would be wise to follow it to greater heights.",Sapporo Jail,Defeat Snow Empress Mariko,Castle: Front Area,[1B]Z,BOND Exp,Tuna / Beef,BOND Exp,Tuna / Beef,Enter battle
"Junk Collection, Part 3","Kuon Ichinose, friend of Metaverse scroungers","I wonder where you guys are now... Maybe you
reached Okinawa already? Well, wherever you
may be, you know what I'm looking for. Think
you could find some new junk for me?",Sapporo Jail,[1B]Z,[1B]Z,[1B]Z,Resilient Scarf,¥54000,Resilient Scarf,¥54000,[1B]Z
"Prison Mail, Part 4",Lavenza of the Velvet Room,"I will provide you with an assignment so that
you may gain access to more complex fusions.
Be careful, Trickster—I can sense the ominous
presence growing ever closer.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,Charge Skill Card,[1B]Z,Charge Skill Card,[1B]Z,[1B]Z
Trapped in a Frozen Hell,"Mona, Desire tracker extraordinaire","*sniff sniff* I found a Desire! I bet it's one that
didn't get returned to its owner yet somehow.
It's in an area with nice, clean air... and with a
lot of trees around. Let's go track it down!",Sapporo Jail,[1B]Z,[1B]Z,[1B]Z,Unlocks level cap for BOND skill,¥3100,Unlocks level cap for BOND skill,¥3100,[1B]Z
"Junk Collection, Part 4","Kuon Ichinose, friend of Metaverse scroungers","I saw the news about EMMA... How crazy. Well,
if you happen to find any new junk while you're
out and about, just send it my way.",Okinawa Jail,[1B]Z,[1B]Z,[1B]Z,Hacker Gear Mk. 4,¥60000,Hacker Gear Mk. 4,¥60000,[1B]Z
Shocking the Scum,"Oracle, LFG for Shadow analysis","I found some real icky slime Shadows in the
Okinawa Jail that I wanna check out. They seem
to eat all kinds of junk, so maybe they've got
some decent equipment in 'em! Who knows?",Okinawa Jail,[1B]Z,Experiment Area,[1B]Z,Demon Pipe,Revival Bead,Demon Pipe,Revival Bead,[1B]Z
